Date,^KS11,^N225,^BVSP,^DJI,^FTSE,^RUT,NQ=F,^GSPC,^BSESN,^FCHI,^GDAXI,^HSI,^MXX,^STOXX50E,^STI,^TWII,^AXJO,^GSPTSE
2025-11-03,4221.8701171875,52411.33984375,150454.0,47336.6796875,9701.400390625,2471.239990234375,26103.25,6851.97021484375,83978.4921875,8109.7900390625,24132.41015625,26158.359375,62653.890625,5679.25,4444.330078125,28334.58984375,8894.7998046875,30275.099609375
2025-11-04,4121.740234375,51497.19921875,150704.0,47085.23828125,9715.0,2427.340087890625,25575.25,6771.5498046875,83459.1484375,8067.52978515625,23949.109375,25952.400390625,62390.73046875,5660.2001953125,4422.72021484375,28116.560546875,8813.7001953125,29777.80078125
2025-11-05,4004.419921875,50212.26953125,153294.0,47311.0,9777.099609375,2464.780029296875,25746.25,6796.2900390625,83459.1484375,8074.22998046875,24049.740234375,25935.41015625,63378.51171875,5669.1298828125,4417.1201171875,27717.060546875,8802.0,30103.5
2025-11-06,4026.449951171875,50883.6796875,153339.0,46912.30078125,9735.7998046875,2418.820068359375,25244.25,6720.31982421875,83311.0078125,7964.77001953125,23734.01953125,26485.900390625,63093.12109375,5611.18017578125,4484.990234375,27899.44921875,8831.7998046875,29868.599609375
2025-11-07,3953.760009765625,50276.37109375,154064.0,46987.1015625,9682.599609375,2432.820068359375,25166.25,6728.7998046875,83216.28125,7950.18017578125,23569.9609375,26241.830078125,63376.12890625,5566.52978515625,4492.240234375,27651.41015625,8769.7001953125,29912.19921875
2025-11-10,4073.239990234375,50911.76171875,155257.0,47368.62890625,9787.2001953125,2455.64990234375,25714.5,6832.43017578125,83535.3515625,8055.509765625,23959.990234375,26649.060546875,63094.01171875,5664.4599609375,4488.1298828125,27869.509765625,8830.900390625,30316.599609375
2025-11-11,4106.39013671875,50842.9296875,157749.0,47927.9609375,9899.599609375,2458.280029296875,25640.75,6846.60986328125,83871.3203125,8156.22998046875,24088.060546875,26696.41015625,64321.26953125,5725.7001953125,4542.2001953125,27784.94921875,8818.7998046875,30409.30078125
2025-11-12,4150.39013671875,51063.30859375,157633.0,48254.8203125,9911.400390625,2450.800048828125,25623.75,6850.919921875,84466.5078125,8241.240234375,24381.4609375,26922.73046875,63190.66015625,5787.31005859375,4568.91015625,27947.08984375,8799.5,30827.599609375
2025-11-13,4170.6298828125,51281.828125,157162.0,47457.21875,9807.7001953125,2382.97998046875,25094.75,6737.490234375,84478.671875,8232.490234375,24041.619140625,27073.029296875,62529.44140625,5742.7900390625,4575.91015625,27903.560546875,8753.400390625,30253.599609375
2025-11-14,4011.570068359375,50376.53125,157739.0,47147.48046875,9698.400390625,2388.22998046875,25094.0,6734.10986328125,84562.78125,8170.08984375,23876.55078125,26572.4609375,62328.62890625,5693.77001953125,4546.06982421875,27397.5,8634.5,30326.5
