Date,^CNXAUTO,^CNXCONSUM,NIFTY_FIN_SERVICE.NS,^CNXPHARMA,^CNXSERVICE,^NSEBANK,^CNXIT,^CNXMEDIA,MOCAPITAL.NS,^NSEI,^CNXFMCG,MOTOUR.NS,^CNXMETAL,CPSEETF.NS,HDFCSML250.NS,^CNXMNC,^CNXREALTY,MODEFENCE.NS,^CNXCMDT,NIFTYMIDCAP150.NS,^CNXENERGY,HDFCPVTBAN.NS,^CRSLDX,^NSMIDCP,OILIETF.NS,^CNXINFRA,^CNXPSUBANK
2024-12-27,,,,23008.349609375,,51311.30078125,43721.3984375,,,23813.400390625,,,,85.45999908447266,178.27000427246094,,,72.41000366210938,,21071.849609375,,25.280000686645508,22445.19921875,68557.1484375,10.75,,
2024-12-30,,,,23241.150390625,,50952.75,43971.44921875,,,23644.900390625,,,,84.36000061035156,177.39999389648438,,,70.9800033569336,,21109.25,,25.030000686645508,22357.150390625,68063.796875,10.649999618530273,,
2024-12-31,,,,23412.25,,50860.19921875,43337.80078125,,,23644.80078125,,,,85.29000091552734,178.66000366210938,,,71.13999938964844,,21141.19921875,,25.049999237060547,22375.400390625,67988.3515625,10.8100004196167,,
2025-01-01,,,,23459.75,,51060.6015625,43373.1015625,,,23742.900390625,,,,85.63999938964844,180.32000732421875,,,71.66000366210938,,21246.5,,25.219999313354492,22375.400390625,68247.953125,10.789999961853027,,
2025-01-02,,,,23553.400390625,,51605.55078125,44351.75,,,24188.650390625,,,,87.19000244140625,181.2100067138672,,,72.08999633789062,,21473.150390625,,25.479999542236328,22819.75,69103.6015625,10.9399995803833,,
2025-01-03,,,,23263.5,,50988.80078125,43726.55078125,,,24004.75,,,,87.98999786376953,180.91000366210938,,,72.08000183105469,,21419.30078125,,25.31999969482422,22708.150390625,69192.453125,11.100000381469727,,
2025-01-06,,,,23073.05078125,,49922.0,43674.8515625,,,23616.05078125,,,,85.23999786376953,175.60000610351562,,,69.48999786376953,,20879.650390625,,25.06999969482422,22225.400390625,66996.796875,10.770000457763672,,
2025-01-07,,,,23228.55078125,,50202.1484375,43375.8515625,,,23707.900390625,,,,85.83000183105469,177.5800018310547,,,70.91000366210938,,21060.80078125,,24.809999465942383,22341.650390625,66938.8984375,10.930000305175781,,
2025-01-08,,,,23011.099609375,,49835.05078125,43634.25,,,23688.94921875,,,,86.08999633789062,175.6300048828125,,,69.9800033569336,,20840.30078125,,24.850000381469727,22231.80078125,66402.6015625,11.109999656677246,,
2025-01-09,,,,22868.099609375,,49503.5,43126.44921875,,,23526.5,,,,85.01000213623047,173.63999938964844,,,70.08999633789062,,20674.25,,24.81999969482422,22046.55078125,65557.203125,10.890000343322754,,
2025-01-10,,,,22380.849609375,,48734.1484375,44609.5,,,23431.5,,,,83.05999755859375,169.50999450683594,,,68.58999633789062,,20252.94921875,,24.209999084472656,21799.0,64257.1015625,10.789999961853027,,
2025-01-13,,,,21903.349609375,,48041.25,43999.1015625,,,23085.94921875,,,,80.2699966430664,163.07000732421875,,,64.69999694824219,,19458.30078125,,24.09000015258789,21243.44921875,61481.55078125,10.520000457763672,,
2025-01-14,,,,22203.900390625,,48729.1484375,43061.19921875,,,23176.05078125,,,,82.47000122070312,165.2899932861328,,,66.61000061035156,,19883.349609375,,24.299999237060547,21481.05078125,63084.1015625,10.6899995803833,,
2025-01-15,,,,21972.69921875,,48751.69921875,43401.25,,,23213.19921875,,,,83.29000091552734,166.0399932861328,,,66.73999786376953,,19955.400390625,,24.360000610351562,21551.19921875,63639.55078125,10.6899995803833,,
2025-01-16,,,,21909.75,,49278.69921875,43188.8515625,,,23311.80078125,,,,84.55000305175781,168.30999755859375,,,68.25,,20172.650390625,,24.40999984741211,21714.55078125,64564.5,10.779999732971191,,
2025-01-17,,,,22061.69921875,,48540.6015625,42032.19921875,,,23203.19921875,,,,85.8499984741211,168.19000244140625,,,70.16999816894531,,20195.900390625,,24.010000228881836,21680.25,65053.6015625,10.9399995803833,,
2025-01-20,,,,22182.400390625,,49350.80078125,42192.80078125,,,23344.75,,,,86.93000030517578,169.47000122070312,,,71.61000061035156,,20350.900390625,,24.59000015258789,21809.0,65106.1484375,10.989999771118164,,
2025-01-21,,,,21882.900390625,,48570.8984375,41697.94921875,,,23024.650390625,,,,85.80999755859375,165.9199981689453,,,69.75,,19946.30078125,,24.270000457763672,21433.19921875,63406.1484375,10.890000343322754,,
2025-01-22,,,,22034.94921875,,48724.3984375,42590.69921875,,,23155.349609375,,,,84.2699966430664,163.17999267578125,,,67.27999877929688,,19696.900390625,,24.31999969482422,21396.55078125,62865.6015625,10.8100004196167,,
2025-01-23,,,,22343.30078125,,48589.0,43351.75,,,23205.349609375,,,,84.51000213623047,163.77999877929688,,,68.05999755859375,,20047.94921875,,24.209999084472656,21538.05078125,63499.75,10.760000228881836,,
2025-01-24,,,,21872.400390625,,48367.80078125,43524.1015625,,,23092.19921875,,,,83.69000244140625,161.0500030517578,,,66.9800033569336,,19708.94921875,,24.09000015258789,21318.900390625,62494.0,10.529999732971191,,
2025-01-27,,,,21292.30078125,,48064.6484375,42060.69921875,,,22829.150390625,,,,81.73999786376953,155.1199951171875,,,64.48999786376953,,19152.099609375,,23.940000534057617,20910.94921875,60730.8984375,10.300000190734863,,
2025-01-28,,,,20796.599609375,,48866.8515625,41820.6484375,,,22957.25,,,,80.72000122070312,152.07000732421875,,,63.939998626708984,,19019.099609375,,24.219999313354492,20924.75,60912.1015625,10.239999771118164,,
2025-01-29,,,,21163.900390625,,49165.94921875,42914.5,,,23163.099609375,,,,82.19000244140625,157.10000610351562,,,65.81999969482422,,19481.75,,24.489999771118164,21245.5,62142.1484375,10.3100004196167,,
2025-01-30,,,,21419.650390625,,49311.94921875,42426.6484375,,,23249.5,,,,83.87999725341797,156.91000366210938,,,67.33999633789062,,19514.25,,24.600000381469727,21297.5,62193.1484375,10.449999809265137,,
